X3DAudio1_7.dll                    0x000000690000
MSVCP110.dll                       0x0000006A0000
MSVCR110.dll                       0x000000750000
flexRelease_x64.dll                0x000000830000
cudart64_75.dll                    0x000000980000
flexExtRelease_x64.dll             0x0000009E0000
nvToolsExt64_1.dll                 0x000000A40000
GFSDK_SSAO_D3D11.win64.dll         0x000000A50000
GFSDK_GodraysLib.x64.dll           0x000000AE0000
f4se_steam_loader.dll              0x0000013A0000
usvfs_x64.dll                      0x0000013E0000
f4se_1_10_163.dll                  0x000001B40000
AmmoRemover.dll                    0x000001C30000
ArmorPenetrationBugFix.dll         0x000001C60000
BakaFullscreenPipboy.dll           0x0000034E0000
BakaMaxPapyrusOps.dll              0x000004DF0000
BakaPowerArmorHUD.dll              0x000006AD0000
Buffout4.dll                       0x0000083C0000
CRYPT32.dll                        0x000008720000
ClassicHolsteredWeapons.dll        0x00000A020000
crafting_highlight_fix.dll         0x00000A0D0000
encounter_zone_recalculation.dll   0x00000A120000
f4ee.dll                           0x00000A150000
GCBugFix.dll                       0x00000A260000
GLXRM_FriendlyFire.dll             0x00000BDF0000
Interior-NavCut-Fix.dll            0x00000D670000
LongLoadingTimesFix.dll            0x00000EF00000
mcm.dll                            0x00000EF60000
MGEFConditionFix.dll               0x00000F000000
NAF.dll                            0x000010880000
Outfit-ReDress-Fix.dll             0x0000123C0000
po3_SimpleOffenceSuppressionF4.dll 0x000013C40000
PrivateProfileRedirector.dll       0x000015500000
PRKF.dll                           0x000015560000
ReloadFix.dll                      0x0000155F0000
RobCo_Patcher.dll                  0x000016E70000
ShadowBoostFO4.dll                 0x000018790000
SprintSpeedController.dll          0x00001A840000
SprintStutteringFix.dll            0x00001C0C0000
ToYourFaceFO4.dll                  0x00001C0E0000
XDI.dll                            0x00001D960000
gameoverlayrenderer64.dll          0x0000212A0000
XAudio2_7.dll                      0x000028150000
steam_api64.dll                    0x00003B400000
opengl32.dll                       0x00007A800000
kernelbase.dll                     0x00007B000000
kernel32.dll                       0x00007B600000
steamclient64.dll                  0x000138000000
Fallout4.exe                       0x000140000000
ntdll.dll                          0x000170000000
bink2w64.dll                       0x000180000000
oleaut32.dll                       0x0001D0E20000
ADVAPI32.dll                       0x0001D8C90000
sechost.dll                        0x0001EAF60000
WINHTTP.dll                        0x0001EFE00000
ole32.dll                          0x00020B860000
mmdevapi.dll                       0x00020F400000
user32.dll                         0x0002169D0000
msvcrt.dll                         0x000228280000
SHELL32.dll                        0x00023BC00000
dbghelp.dll                        0x00023ECB0000
winex11.drv                        0x000251D80000
xinput1_4.dll                      0x000259D90000
version.dll                        0x00025DC30000
vcruntime140.dll                   0x0002605D0000
PSAPI.DLL                          0x000267930000
nsi.dll                            0x00026C190000
uxtheme.dll                        0x00026C230000
D3DCOMPILER_47.dll                 0x00027CF30000
WINMM.dll                          0x0002945E0000
dnsapi.dll                         0x000296590000
shlwapi.dll                        0x0002A2380000
VCRUNTIME140_1.dll                 0x0002AC810000
gdi32.dll                          0x0002BB0A0000
shcore.dll                         0x0002BDE30000
win32u.dll                         0x0002C73A0000
ucrtbase.dll                       0x0002C7470000
winevulkan.dll                     0x0002D4AD0000
libvkd3d-1.dll                     0x0002D64D0000
hid.dll                            0x0002E0D50000
libdiskCacheEnabler.dll            0x0002E8190000
XINPUT1_3.dll                      0x0002E99A0000
winepulse.drv                      0x0002EB230000
jsproxy.dll                        0x0002EB680000
dxgi.dll                           0x0002EDF00000
bcrypt.dll                         0x0002EE630000
concrt140.dll                      0x0002FBA30000
libvkd3d-shader-1.dll              0x0002FCA80000
avrt.dll                           0x00031B140000
MSVCP140.dll                       0x00031BEF0000
combase.dll                        0x00031C5D0000
DSOUND.DLL                         0x000343520000
msacm32.dll                        0x000351A60000
d3d11.dll                          0x000359050000
wined3d.dll                        0x000367600000
rpcrt4.dll                         0x000368420000
setupapi.dll                       0x00036D860000
ws2_32.dll                         0x000370F70000
imm32.dll                          0x000393730000
IPHLPAPI.DLL                       0x0003982D0000
lsteamclient.dll                   0x7FC4C4F40000
