[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccrzrfo4001-tunnelsnakes.esm
[08]     CleanMySettlement.esm
[09]     Unofficial Fallout 4 Patch.esp
[0A]     WorkshopFramework.esm
[0B]     HUDFramework.esm
[0C]     XDI.esm
[0D]     SS2.esm
[0E]     SS2_XPAC_Chapter2.esm
[0F]     PACE.esm
[10]     PANPC.esm
[11]     Depravity.esp
[12]     AA FusionCityRising.esp
[13]     AA FusionCityRising - HotC.esp
[14]     OutcastsAndRemnants.esp
[15]     ProjectValkyrie.esp
[16]     ProjectZeta.esm
[17]     AGNISNikaCola01.esp
[18]     Darlene.esm
[19]     DarleneDLC.esp
[1A]     Ketaros_Treasures.esp
[1B]     NoSharedDogmeatTemplate.esp
[1C]     LooksMenu Customization Compendium.esp
[1D]     ESPExplorerFO4.esp
[1E]     Playable Synth Eyes.esp
[1F]     KSHairdos.esp
[20]     KSHairdos_oel.esp
[21]     TBOS-AntoHairPack.esp
[22]     KSHairsFemsheppingRadbeetle.esp
[23]     HN66Fo4_Nails.esp
[24]     AllSetsExtended.esp
[25]     ECO.esp
[26]     KetPatch01.esp
[27]     SuperMutantRedux.esp
[28]     Fusion Gun.esp
[29]     The Eyes Of Beauty.esp
[2A]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[2B]     WestTekTacticalOptics.esp
[2C]     CF_AtomicWarlord.esp
[2D]     F3metalarmor.esp
[2E]     ss2radiantpower.esp
[2F]     Nuka World Bottle Fix.esp
[30]     skkunlockcompanions.esp
[31]     Liga.esp
[32]     Raider Gang Extended NPC (Fixed & Cleaned).esp
[33]     Altyn Assault Helmet.esp
[34]     Metro Gas Masks.esp
[35]     RaiderOverhaul.esp
[36]     WattzLaserGun.esp
[37]     CheatTerminal.esp
[38]     InstituteSettlements2.esp
[39]     Croup Manor Navmesh - retakrew7.esp
[3A]     SS2_FDK_TinyLiving.esp
[3B]     Eli_Armour_Compendium.esp
[3C]     skkfastreunions.esp
[3D]     SS2-PraRandomAddon.esp
[3E]     pulsecarbine.esp
[3F]     W.A.T.Minutemen.esp
[40]     SS2Addon_FPh_AlleyCabaret.esp
[41]     Lost Souls No Hostility.esp
[42]     GreaseRatGarbs.esp
[43]     autoweapons.esp
[44]     AutomatronUnlockedNukaParts.esp
[45]     CobaltForge.esp
[46]     skkfastbos.esp
[47]     rfortaleza2.esp
[48]     rpampas.esp
[49]     HN66Fo4_EasyGirl_BS.esp
[4A]     Liberator.esp
[4B]     QuickTrade.esp
[4C]     CreationClubDelay.esp
[4D]     SS2Extended.esp
[4E]     SS2_SIMPDDDD.esp
[4F]     9mmPistol.esp
[50]     AtomsGloryThreads.esp
[51]     SS2WastelandVenturers.esp
[52]     SS2_Addon_R2R.esp
[53]     [SS20Addon] SimSettlements SuperStructures.esp
[54]     FO4 NPCs Travel.esp
[55]     SS2-Jampads2.esp
[56]     SS2_ruined_simsettlement_addonpack.esp
[57]     JunkTownTwo.esp
[58]     skkcombatsettlers.esp
[59]     BullpupBozar.esp
[5A]     Zapgun.esp
[5B]     Sjogren.esp
[5C]     skkfastminutemen.esp
[5D]     SigSauer127.esp
[5E]     TotalHackRevisited.esp
[5F]     Cranky.esp
[60]     Quad_Accelerator.esp
[61]     MG69.esp
[62]     HuntingShotgun.esp
[63]     Archimedes-II.esp
[64]     Skb_RiflesRebirth.esp
[65]     22LR_SilentPistol_ENG.esp
[66]     45autoPistol.esp
[67]     ABundleofTape.esp
[68]     American180nv.esp
[69]     DP_CaravanShotgun.esp
[6A]     F4CW10mmSMG.esp
[6B]     F4NVServiceRifleRedux.esp
[6C]     G3Family.esp
[6D]     GreaseGunSMG.esp
[6E]     HuntingRevolver.esp
[6F]     LAER.esp
[70]     LeeEnfieldNo4MkI.esp
[71]     Mk41GyrojetHMG.esp
[72]     SA80.esp
[73]     Wana_SA58.esp
[74]     llamaCompanionHeatherv2.esp
[75]     SettlementMenuManager.esp
[76]     Vault-Tec Workshop Overhaul Redux.esp
[77]     Vault88 - Essentials.esp
[78]     ZetaWorkshop.esp
[79]     DT_GunnerOutfitPack.esp
[7A]     Ghoulish this is Child of the Atom.esp
[7B]     OWR.esp
[7C]     OWR2.esp
[7D]     DOOMCatalyst.esp
[7E]     AEWS.esp
[7F]     BetterAutomatronWeapons.esp
[80]     Automatron Protectrons Expanded.esp
[81]     GR001-AutomatronRebooted.esp
[82]     retakrew7 - automatron synth 1 2.esp
[83]     AutomatronSecuritron.esp
[84]     DeadlierDeathclaws.esp
[85]     DOOMMAC11.esp
[86]     Eli_NukaStuff.esp
[87]     HoloTime.esp
[88]     NoSettlementQuestsAIODLC.esp
[89]     Better_Settlement_Defence.esp
[8A]     3dscopes.esp
[8B]     skkfaststartnewgame.esp
[8C]     NukaWorldReborn.esp
[8D]     VivaNukaWorldQuests.esp
[8E]     FaceMaxson.esp
[8F]     VivaNukaWorld.esp
[90]     InstituteReformation.esp
[91]     FatherCompanion.esp
[92]     VivaNukaWorldQuests - Depravity Integration.esp
[93]     Facials.esp
[94]     AA LMSE_FarHarbor.esp
[95]     AA Lots More Settlers and Enemies.esp
[96]     CriticalHitsOutsideofVATS.esp
[FE:000] ccbgsfo4016-prey.esl
[FE:001] ccbgsfo4018-gaussrifleprototype.esl
[FE:002] ccbgsfo4019-chinesestealtharmor.esl
[FE:003] ccbgsfo4042-bfg.esl
[FE:004] ccfrsfo4001-handmadeshotgun.esl
[FE:005] ccbgsfo4045-advarccab.esl
