[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     Insignificant Object Remover.esp
[09]     HoloDisplay.esp
[0A]     3dscopes.esp
[0B]     Brawl Bug Fix.esp
[0C]     Loot Detector.esp
[0D]     SprintStutterRemover.esp
[0E]     CBBE.esp
[0F]     LooksMenu.esp
[10]     LooksMenu Customization Compendium.esp
[11]     KSHairdos.esp
[12]     The Eyes Of Beauty.esp
[13]     2pacSkimpy.esp
[14]     ChainBikini.esp
[15]     HN66Fo4_EasyGirl_BS.esp
[16]     AzarPonytailHairstyles.esp
[17]     YoungMamaMurphy.esp
[18]     TheKite_CaitSet.esp
[19]     TheKite_VTS.esp
[1A]     tschutschiSpearheadCatsuit.esp
[1B]     MCM_CS1_Raven.esp
[1C]     Zipsuit.esp
[1D]     ApalLeotard.esp
[1E]     DlxClothesPack.esp
[1F]     FemSynth.esp
[20]     AngeliPowerarmor.esp
[21]     aSexMod.esp
[22]     Idiot Slut.esp
[23]     Hot and Horny Wastelands Posters.esp
[24]     Hot and Horny Wastelands Billboards.esp
[25]     Paintings Kinky.esp
[26]     Jill Valentine Art.esp
[27]     Vault Meat Paintings.esp
[28]     Flags.esp
[29]     EroticArt.esp
[FE:000] CanarySaveFileMonitor.esl
[FE:001] PPF.esm
[FE:002] TrashRebuilt.esp
