[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccrzrfo4001-tunnelsnakes.esm
[08]     ccswkfo4001-astronautpowerarmor.esm
[09]     cczsef04001-bhouse.esm
[0A]     cctosfo4001-neosky.esm
[0B]     cczsefo4002-smanor.esm
[0C]     cctosfo4002_neonflats.esm
[0D]     Unofficial Fallout 4 Patch.esp
[0E]     HUDFramework.esm
[0F]     XDI.esm
[10]     WorkshopFramework.esm
[11]     FortStronger.esm
[12]     SouthOfTheSea.esm
[13]     PANPC.esm
[14]     PACE.esm
[15]     DCGuard_Overhaul.esp
[16]     SS2.esm
[17]     SS2_XPAC_Chapter2.esm
[18]     InstituteTechnologyOverhaul.esm
[19]     MFC2023_EndAlz_Trunk.esm
[1A]     Games.esm
[1B]     BarstoolGames.esm
[1C]     Random Robots - True Leveled.esm
[1D]     NoSharedDogmeatTemplate.esp
[1E]     NukaWorldReborn.esp
[1F]     VivaNukaWorldQuests.esp
[20]     NukaWorldPlus.esp
[21]     Ketaros_Treasures.esp
[22]     SS2Extended.esp
[23]     FaceMaxson.esp
[24]     AGNISNikaCola01.esp
[25]     Skb_RiflesRebirth.esp
[26]     Zapgun.esp
[27]     127mmSMG.esp
[28]     American180nv.esp
[29]     BullpupBozar.esp
[2A]     CheatTerminal.esp
[2B]     DCGuard_Overhaul-SettlementWorkshop.esp
[2C]     Mk41GyrojetHMG.esp
[2D]     SKKFastReunions.esp
[2E]     ABundleofTape.esp
[2F]     InstituteTechnologyOverhaul - FULL.esp
[30]     F4NVRechargerWeapons.esp
[31]     Immersive Courser Overhaul.esp
[32]     Glock86.esp
[33]     KSHairsFemsheppingRadbeetle.esp
[34]     The Eyes Of Beauty.esp
[35]     UltracitePA.esp
[36]     SS2_FDK_TinyLiving.esp
[37]     Eli_Armour_Compendium.esp
[38]     Ketaros_MissingMags.esp
[39]     CreationClubDelay.esp
[3A]     Mors Shortcut to Curie.esp
[3B]     Jacq-CompanionPerkMags.esp
[3C]     9mmPistol.esp
[3D]     F4NVLaserPistol.esp
[3E]     PoliceWeaponPack.esp
[3F]     Shadow Wastelands SS2 World Repopulation Cells.esp
[40]     llamaCompanionHeatherv2.esp
[41]     Glock 17&18.esp
[42]     PBW-TheServicePackRELOADED.esp
[43]     SS2WastelandVenturers.esp
[44]     LeeEnfieldNo4MkI.esp
[45]     0_Vault120.esp
[46]     BetaWaveHarmonica.esp
[47]     [SS20Addon] SimSettlements SuperStructures.esp
[48]     ElMudoStore.esp
[49]     GtN_SettlersatPlay.esp
[4A]     Cho1-SS2-Cosmosplot.esp
[4B]     SS2-Jampads2.esp
[4C]     Cho1_ss2_Barmod_Conversion.esp
[4D]     SS2_ruined_simsettlement_addonpack.esp
[4E]     SS2_STRA_Buildings_and_Skins.esp
[4F]     SS2_STRA_Support_Buildings.esp
[50]     GarageHomesAndSensibleSecurity.esp
[51]     JunkTownTwo.esp
[52]     SS2_Addon_FHE.esp
[53]     SS2_Addon_PSC_Plots.esp
[54]     SS2-PraRandomAddon.esp
[55]     DP_CaravanShotgun.esp
[56]     SigSauer127.esp
[57]     F4CW10mmSMG.esp
[58]     45autoPistol.esp
[59]     DesertEagleNV.esp
[5A]     WinCowbowRepeater.esp
[5B]     22LR_SilentPistol_ENG.esp
[5C]     SelectRapidMG.esp
[5D]     SelectShotgun.esp
[5E]     ESPExplorerFO4.esp
[5F]     BarstoolGames_NW.esp
[60]     BarstoolGames_FH.esp
[61]     SettlementMenuManager.esp
[62]     AutomatronUnlockedNukaParts.esp
[63]     Better Randomized Robots - vanilla loot patch.esp
[64]     HuntingRevolver.esp
[65]     LooksMenu Customization Compendium.esp
[66]     Skibs-223PistolRedux.esp
[67]     HoloTime_2.esp
[68]     SelectMarksman.esp
[69]     Better_Settlement_Defence.esp
[6A]     PigAutomagIII.esp
[6B]     PlasmaDefenderStandalone.esp
[6C]     PBW-PlasmaPistol.esp
[6D]     VisibleCompanionAffinity.esp
[6E]     ChineseStealthSuit.esp
[6F]     KSHairdos.esp
[70]     CompanionStatus.esp
[71]     DOOMCatalyst.esp
[72]     Playable Synth Eyes.esp
[73]     F4NV-N99.esp
[74]     F3metalarmor.esp
[75]     Ketaros_World.esp
[76]     Radium.esp
[77]     SKKFastBOS.esp
[78]     SKKFastMinutemen.esp
[79]     FatherCompanion.esp
[7A]     InstituteReformation.esp
[7B]     SRV_StopRadioVoice.esp
[7C]     TacticalCourser.esp
[7D]     The Eyes of Beauty Looking Stranger.esp
[7E]     Liga.esp
[7F]     NaiSynthProstheticArm.esp
[80]     PersistentVolumeSliders.esp
[81]     HHFootsteps.esp
[82]     GCM.esp
[83]     SKKOmodStripper.esp
[84]     Vault-Tec Workshop Overhaul Redux.esp
[85]     Vault88 - Essentials.esp
[86]     Vault 88 Template - Optimised.esp
[87]     Alex's Settlement Power Pylon.esp
[88]     DD_Khassar_De_Templari_Increased_build.esp
[89]     MS Contraptions - SS2 ASAM Builder.esp
[8A]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[8B]     SS2_CityPlanContestAssistant.esp
[8C]     SS2_MsB_PlainPlans.esp
[8D]     SS2_SIMPDDDD.esp
[8E]     SS2CaravanSnatex.esp
[8F]     SS2UI.esp
[90]     TheRon_MapMarker.esp
[91]     DCGuard_Overhaul-Workshop.esp
[92]     Reverb and Ambiance Overhaul.esp
[93]     FO4R.esp
[94]     jsrs.esp
[95]     CROSS_RugerMkV.esp
[96]     TruePerks.esp
