[  0] 0x7FF7E75AA667 Fallout4.exe+145A667	movzx edx, byte ptr [r8+0x1A] |  GameScript::BasicEventHandler::ProcessEvent(TESCombatEvent&,BSTEventSource<TESCombatEvent>*)_145A667 -> 1025656+0x57	movzx edx, byte ptr [r8+0x1A]
[  1] 0x7FF7E65AAFE4 Fallout4.exe+045AFE4	test eax, eax |  BSTEventSource<TESCombatEvent>::Notify(TESCombatEvent&)_45AFE4 -> 1145755+0x1C4	test eax, eax
[  2] 0x7FF7E65850C9 Fallout4.exe+04350C9	mov rcx, [rsp+0x28] |  TESObjectREFR_Events::SendCombat(NiPointer<TESObjectREFR>&,NiPointer<TESObjectREFR>&,ACTOR_COMBAT_STATE)_4350C9 -> 1166723+0x49	mov rcx, [rsp+0x28]
[  3] 0x7FF7E6F4E613 Fallout4.exe+0DFE613	mov rax, [rsp+0x70] |  Actor::NotifyCombatStateChanged(ACTOR_COMBAT_STATE)_DFE613 -> 688847+0xD3	mov rax, [rsp+0x70]
[  4] 0x7FF7E6F4F755 Fallout4.exe+0DFF755	call 0x00007FF7E61BB2A0 |  Actor::UpdateCombat(void)_DFF755 -> 762183+0x285	call 0x00007FF7E61BB2A0
[  5] 0x7FF7E6EBF62B Fallout4.exe+0D6F62B	mov rcx, r14 |  Actor::Predestroy(void)_D6F62B -> 1249584+0x1EB	mov rcx, r14
[  6] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[  7] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[  8] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[  9] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 10] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 11] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 12] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 13] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 14] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 15] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 16] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 17] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 18] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 19] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 20] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 21] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 22] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 23] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 24] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 25] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 26] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 27] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 28] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 29] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 30] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 31] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 32] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 33] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 34] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 35] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 36] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 37] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 38] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 39] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 40] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 41] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 42] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 43] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 44] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 45] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 46] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 47] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 48] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 49] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 50] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 51] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 52] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 53] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 54] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 55] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 56] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
