[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     XDI.esm
[0A]     PlasmaArsenal.esp
[0B]     CWPointLookoutFO4.esm
[0C]     MostlyFemale.esp
[0D]     Clean_Settler_Faces_All.esp
[0E]     Clear Underwater View.esp
[0F]     Ultimate Power Armor Overhaul - INFINITE DURABILITY ONLY.esp
[10]     .Piper.esp
[11]     UltraExteriorLighting.esp
[12]     UltraInteriorLighting.esp
[13]     OutcastsAndRemnants.esp
[14]     America Rising - A Tale of the Enclave.esp
[15]     AA FusionCityRising.esp
[16]     Enclave Paint DLC.esp
[17]     Armorsmith Extended.esp
[18]     Nuka-World Collectable Markers.esp
[19]     R91AssaultRifle.esp
[1A]     556mm.esp
[1B]     Be Exceptional.esp
[1C]     Affinity Perk Edits.esp
[1D]     CCOFoxyFactionsReplacer.esp
[1E]     CCOSaucySettlersReplacer.esp
[1F]     CCOVulgarVillainsReplacer.esp
[20]     ALSL Vault Suit Unzipped - Vaults 111 and 95 suits only.esp
[21]     AtomicBeauty.esp
[22]     AzarPonytailHairstyles.esp
[23]     Be Exceptional - Uninstall.esp
[24]     MiscHairstyle.esp
[25]     HiPolyFaces.esp
[26]     CBBE.esp
[27]     CherchezAndABachelor.esp
[28]     WM Chinese Assault Rifle - Standalone.esp
[29]     ConceptCentaur.esp
[2A]     Crimsomrider's Accessories.esp
[2B]     CROSS_Swimsuit.esp
[2C]     DAWestern44.esp
[2D]     DOOMSCARLK.esp
[2E]     InstitWeapPosit.esp
[2F]     Electrolasers Redux.esp
[30]     EnclaveX02.esp
[31]     fo3friedghouls.esp
[32]     GatLasTweaks.esp
[33]     Glorious_Glowing_Plasma_Weapons_by_Diranar.esp
[34]     ImmersiveScrapping_SeasonPass.esp
[35]     ImprovedPulsesGrenadesMines.esp
[36]     KSHairdos.esp
[37]     KSHairdos_oel.esp
[38]     LooksMenu Customization Compendium.esp
[39]     LooksMenu.esp
[3A]     LooksMirror.esp
[3B]     Lucky Critter.esp
[3C]     MarcyLongDialogueEdits.esp
[3D]     mcgFemaleWalk.esp
[3E]     mcgFemaleWalk-Granny-eng.esp
[3F]     mcgFemaleWalk-Granny-ru.esp
[40]     MG42.esp
[41]     MK_DeadMoon.esp
[42]     MojaveBrotherhood.esp
[43]     Pip2000MkVi_Replacer.esp
[44]     PiperOutfit.esp
[45]     PipeShotgun.esp
[46]     Quad_Fusillade.esp
[47]     Quiet Robots.esp
[48]     RailwayPistol.esp
[49]     Realistic Sprinting.esp
[4A]     RemoteExplosives.esp
[4B]     RightHandedHuntingRifle.esp
[4C]     ShotgunCoils.esp
[4D]     Skip DIMA memories.esp
[4E]     sp_mole_rat_disease_timed.esp
[4F]     SPECIAL40.esp
[50]     T45Outcast.esp
[51]     T51NukaJetPack.esp
[52]     THBrows.esp
[53]     True-Frags_v1-2_MidDmg_Knockdown_LoRange_NukaDLC.esp
[54]     Unlimited SPECIAL.esp
[55]     VaultGirl.esp
[56]     VtawUtilityPack1.esp
[57]     X01Light.esp
[58]     XM2010_SniperRifle_by_tooun.esp
[59]     xy - Jumpsuits.esp
[5A]     Zanthir_MinigunReplacer.esp
[5B]     Floaters.esp
[5C]     Glock86.esp
[5D]     ProjectValkyrie.esp
[5E]     ChineseRemnants.esp
[5F]     F4NV-AMR.esp
[60]     F4NVServiceRifleRedux.esp
[61]     LAER.esp
[62]     mk14.esp
[63]     WattzLaserGun.esp
[64]     Midwest Power Armor Evolution.esp
[65]     ClassicSniper.esp
[66]     CartographersMapMarkers Commonwealth.esp
[67]     companion_charlotte.esp
[68]     Chiappa_Rhino.esp
[69]     BullpupBozar.esp
[6A]     CartographersMapMarkers FarHarbor.esp
[6B]     CartographersMapMarkers NukaWorld.esp
[6C]     CrudeBlowback.esp
[6D]     DP_CaravanShotgun.esp
[6E]     F4CW10mmSMG.esp
[6F]     HuntingRevolver.esp
[70]     MP7.esp
[71]     RedShiftPowerArmor.esp
[72]     G36Complex.esp
[73]     Hellfirenew.esp
[74]     HK_UMP.esp
[75]     HKUSP9mm.esp
[76]     NONE - Ballistic Weave Overhaul.esp
[77]     PBW-LaserRCW.esp
[78]     QuantumSoundwavesRadio.esp
[79]     TeslaCannonRedux.esp
[7A]     TheKite_VTS.esp
[7B]     TheKite_VTS_Replacer.esp
[7C]     00-ThornJacket.esp
[7D]     [BOCW] Kitsune.esp
[7E]     ChineseStealthSuit.esp
[7F]     3dscopes-bullpupbozar.esp
[80]     3dscopes-classicsniper.esp
[81]     3dscopes-f4nvamr.esp
[82]     3dscopes-huntingrevolver.esp
[83]     3dscopes-laer.esp
[84]     3dscopes-R91AR.esp
[85]     3dscopes-servicerifle.esp
[86]     3dscopes-wattz.esp
[87]     3dscopes.esp
[88]     MWIIstango25.esp
[89]     ManufacturingExtended.esp
[8A]     CasualCombatOutfit.esp
[8B]     Vanilla resonating lights fix.esp
[8C]     Tesla X01.esp
[8D]     XM2010_SniperRifle_STS.esp
[8E]     HAAS Core Replacer AE Edition.esp
[8F]     HAAS Automatron Replacer AE Edition.esp
[90]     HAAS Far Harbor Replacer AE Edition.esp
[91]     HAAS Nuka World Replacer AE Edition.esp
[92]     StartMeUp.esp
[93]     BostonFPSFixAIO.esp
[94]     PaladinBaileyRedRocket.esp
[95]     AmazingFollowerTweaks.esp
[FE:000] HiPolyFacesCompanionPlugin.esl
[FE:001] NoTutorials.esl
