[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     AAF.esm
[09]     ArmorKeywords.esm
[0A]     CBBE.esp
[0B]     KSHairdos.esp
[0C]     LooksMenu.esp
[0D]     The Eyes Of Beauty.esp
[0E]     TheEyesOfBeauty.esp
[0F]     LooksMenu Customization Compendium.esp
[10]     Insignificant Object Remover.esp
[11]     3dscopes-replacer.esp
[12]     Idiot Slut.esp
[13]     AAF_debug_on.esp
[14]     Atomic Lust.esp
[15]     2pacSkimpy.esp
[16]     ChainBikini.esp
[17]     HN66Fo4_EasyGirl_BS.esp
[18]     YoungMamaMurphy.esp
[19]     TheKite_CaitSet.esp
[1A]     TheKite_VTS.esp
[1B]     MCM_CS1_Raven.esp
[1C]     tschutschiSpearheadCatsuit.esp
[1D]     Zipsuit.esp
[1E]     ApalLeotard.esp
[1F]     AngeliPowerarmor.esp
[20]     FemSynth.esp
[21]     DlxClothesPack.esp
[22]     HoloDisplay.esp
[23]     Brawl Bug Fix.esp
[24]     AWKCR - Mod Power Armor Engine Glitch Fix.esp
[25]     AzarPonytailHairstyles.esp
[26]     Armorsmith Extended.esp
[27]     StartMeUp.esp
[28]     ThisIsTrash.esp
[29]     Vault Meat Paintings.esp
[2A]     Flags.esp
[2B]     EroticArt.esp
[2C]     Hot and Horny Wastelands Posters.esp
[2D]     Hot and Horny Wastelands Billboards.esp
[2E]     Paintings Kinky.esp
[2F]     SprintStutterRemoverWithExtras.esp
[30]     aSexMod.esp
[FE:000] Loot Detector.esl
[FE:001] Jill Valentine Art.esp
