[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     WorkshopFramework.esm
[0A]     XDI.esm
[0B]     HUDFramework.esm
[0C]     AAF.esm
[0D]     SS2.esm
[0E]     SS2_XPAC_Chapter2.esm
[0F]     TrueStormsFO4.esm
[10]     TortureDevices.esm
[11]     TacticalReload.esm
[12]     Homemaker.esm
[13]     VotWMaster.esm
[14]     CumNWealth.esp
[15]     CumNWealth_mutant.esp
[16]     LooksMenu.esp
[17]     FO4 Seasons - Spring - AllDLC.esp
[18]     InfiltratorSMG_NoMunitions.esp
[19]     K9TacticalHarness.esp
[1A]     LongerPowerLinesInf.esp
[1B]     AAC_HoneyBadger.esp
[1C]     RemingtonNewArmy.esp
[1D]     NZ41.esp
[1E]     Natasha_Face_Texture_Vanilla_Colours.esp
[1F]     H0rs3.esp
[20]     KLPostersAdult.esp
[21]     ZaZOut4.esp
[22]     SettleObjExpandPack.esp
[23]     PhotoMode.esp
[24]     Rufgt's Animations.esp
[25]     Elzee Human Grab Attacks.esp
[26]     FunctionalDisplays-Collectibles.esp
[27]     FunctionalDisplays.esp
[28]     FunctionalDisplays-MISC-Vanilla.esp
[29]     MadKea-01.esp
[2A]     Ketaros_Treasures.esp
[2B]     SS2Extended.esp
[2C]     MojaveImports.esp
[2D]     RealComics.esp
[2E]     CHEF.esp
[2F]     NSFW Comics.esp
[30]     Ashe.esp
[31]     MiscHairstyle.esp
[32]     Ciri.18B5F4.18B5F4.18B5F4.esp
[33]     Ellie.23134B.esp
[34]     Ghost.231346.231346.esp
[35]     Heather.18B5F3.18B5F3.18B5F3.esp
[36]     Jodelle.23134A.esp
[37]     Krisa.esp
[38]     Lima.225B6A.225B6A.225B6A.225B6A.esp
[39]     Lin.231349.231349.esp
[3A]     Lora.18B5F7.esp
[3B]     Triss.23134C.23134C.23134C.23134C.esp
[3C]     With.225B69.esp
[3D]     Yennefer.18B5F6.esp
[3E]     cute.231348.231348.esp
[3F]     UniqueFollowers.esp
[40]     256StandaloneHairColors.esp
[41]     MAID_by_Justice.esp
[42]     The Eyes Of Beauty.esp
[43]     Lots More Male Hairstyles.esp
[44]     F3metalarmor.esp
[45]     LookingStranger.esp
[46]     Lots More Facial Hair.esp
[47]     SF Danse.esp
[48]     Armorsmith Extended.esp
[49]     Pharah Security Armor.esp
[4A]     Tracer.esp
[4B]     Backpacks of the Commonwealth.esp
[4C]     Vivid Weathers - FO4.esp
[4D]     Vivid Weathers - FO4 - Spring.esp
[4E]     TrueStormsFO4-FarHarbor.esp
[4F]     Vivid Weathers - FO4 - Far Harbor.esp
[50]     TrueStormsFO4-NukaWorld-FH-Compat.esp
[51]     Vivid Weathers - Nuka World.esp
[52]     EroticArt.esp
[53]     Mercenary.esp
[54]     DOA Follower Mai Shiranui.esp
[55]     powerarmort49.esp
[56]     Ak5C.esp
[57]     06 Follower.esp
[58]     GS Lever Action Shotgun.esp
[59]     ValentineCases.esp
[5A]     9mmPistol.esp
[5B]     Tec-9.esp
[5C]     MWAN94.esp
[5D]     MWIIM4.esp
[5E]     MK18.esp
[5F]     EroticArt - Expanded.esp
[60]     SCAR-L.esp
[61]     PL-14.esp
[62]     RussianAssaultPack.esp
[63]     Zaz Particles.esp
[64]     FO4_AnimationsByLeito.esp
[65]     DOOMSCARLK.esp
[66]     Midwest Power Armor Evolution.esp
[67]     AER15.esp
[68]     PoliceWeaponPack.esp
[69]     P90.esp
[6A]     smmg.esp
[6B]     P90NPC.esp
[6C]     OTs33Pernach.esp
[6D]     Glock19x.esp
[6E]     ClassicSniper.esp
[6F]     Glock 17&18.esp
[70]     SkyrimInspiredPowerArmor.esp
[71]     LR_Pizza.esp
[72]     FN502.esp
[73]     RU556.esp
[74]     SteyrAUGnv.esp
[75]     ElMudoStore.esp
[76]     DesertEagleNV.esp
[77]     AKeVolk.esp
[78]     HsProduktVhs2.esp
[79]     ManualReload.esp
[7A]     NRAW_Common.esp
[7B]     3dscopes-replacer.esp
[7C]     RoxysPublicPack.esp
[7D]     Commonwealth Captives.esp
[7E]     OnaWealth.esp
[7F]     3dscopes-framework.esp
[80]     HalfGasMask.esp
[81]     KSHairdos.esp
[82]     XReplacerCurie.27686.1647C6.esp
[83]     Lexxa.225B67.225B67.225B67.225B67.esp
[84]     Roxy.225B68.225B68.225B68.225B68.225B68.225B68.esp
[85]     VaultGirl.esp
[86]     MWStriker.esp
[87]     G3A3.esp
[88]     SigMCX.esp
[89]     Sjogren.esp
[8A]     FunctionalDisplays-Patch-DLC-ALL.esp
[8B]     OCDispenser.esp
[8C]     UnbogusLunchboxes.esp
[8D]     ImmersiveLoversEmbraceRemastered.esp
[8E]     ImmersiveLoversEmbraceMagnolia.esp
[8F]     NB_BuildLimitRemover.esp
[90]     VHCE.esp
[91]     VtawWardrobe5.esp
[92]     VtawWardrobe4.esp
[93]     ar15_family.esp
[94]     Karma-45.esp
[95]     slootyVaultSuit.esp
[96]     AtomicBeauty.esp
[97]     Pharah.esp
[98]     WinCowbowRepeater.esp
[99]     Brigitte.esp
[9A]     SG550.esp
[9B]     MP7.esp
[9C]     PreWarSanctuaryBridge.esp
[9D]     M1A.esp
[9E]     HK_UMP.esp
[9F]     LooksMenu Customization Compendium.esp
[A0]     NothingFancyHotShowers.esp
[A1]     FunctionalDisplays-AID-Vanilla.esp
[A2]     Hood_No_Mask.esp
[A3]     Kilo-141.esp
