[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     CBBE.esp
[09]     LooksMenu.esp
[0A]     LooksMenu Customization Compendium.esp
[0B]     KSHairdos.esp
[0C]     The Eyes Of Beauty.esp
[0D]     TheEyesOfBeauty.esp
[0E]     AzarPonytailHairstyles.esp
[0F]     YoungMamaMurphy.esp
[10]     2pacSkimpy.esp
[11]     ChainBikini.esp
[12]     HN66Fo4_EasyGirl_BS.esp
[13]     TheKite_CaitSet.esp
[14]     TheKite_VTS.esp
[15]     tschutschiSpearheadCatsuit.esp
[16]     MCM_CS1_Raven.esp
[17]     Zipsuit.esp
[18]     ApalLeotard.esp
[19]     DlxClothesPack.esp
[1A]     FemSynth.esp
[1B]     AngeliPowerarmor.esp
[1C]     aSexMod.esp
[1D]     Brawl Bug Fix.esp
[1E]     Loot Detector.esp
[1F]     HoloDisplay.esp
[20]     3dscopes.esp
[21]     Insignificant Object Remover.esp
[22]     SprintStutterRemoverWithExtras.esp
[23]     Idiot Slut.esp
[24]     Jill Valentine Art.esp
[25]     Vault Meat Paintings.esp
[26]     Flags.esp
[27]     EroticArt.esp
[28]     Hot and Horny Wastelands Posters.esp
[29]     Hot and Horny Wastelands Billboards.esp
[2A]     Paintings Kinky.esp
[FE:000] CanarySaveFileMonitor.esl
[FE:001] TrashRebuilt.esp
