[   0] 0x7FF7543952B1 Fallout4.exe+09C52B1 -> 1318359+0xA1
[   1] 0x7FF754394B1C Fallout4.exe+09C4B1C -> 537435+0x10C
[   2] 0x7FF754804B40 Fallout4.exe+0E34B40 -> 426899+0x40
[   3] 0x7FF754868852 Fallout4.exe+0E98852 -> 694340+0x182
[   4] 0x7FF7548AEEB4 Fallout4.exe+0EDEEB4 -> 353790+0x14
[   5] 0x7FF7539F3948 Fallout4.exe+0023948 -> 1577322+0xD8
[   6] 0x7FF75465B111 Fallout4.exe+0C8B111 -> 623917+0x41
[   7] 0x7FF75465A939 Fallout4.exe+0C8A939 -> 1158833+0x39
[   8] 0x7FF754620051 Fallout4.exe+0C50051 -> 131272+0x31
[   9] 0x7FF75472C147 Fallout4.exe+0D5C147 -> 962329+0x47
[  10] 0x7FF75463B011 Fallout4.exe+0C6B011 -> 1271754+0x61
[  11] 0x7FF754854DE3 Fallout4.exe+0E84DE3 -> 1235717+0x493
[  12] 0x7FF754804B98 Fallout4.exe+0E34B98 -> 426899+0x98
[  13] 0x7FF754868852 Fallout4.exe+0E98852 -> 694340+0x182
[  14] 0x7FF7548AEEB4 Fallout4.exe+0EDEEB4 -> 353790+0x14
[  15] 0x7FF7539F3948 Fallout4.exe+0023948 -> 1577322+0xD8
[  16] 0x7FF75465B111 Fallout4.exe+0C8B111 -> 623917+0x41
[  17] 0x7FF75465A939 Fallout4.exe+0C8A939 -> 1158833+0x39
[  18] 0x7FF754620051 Fallout4.exe+0C50051 -> 131272+0x31
[  19] 0x7FF75472C147 Fallout4.exe+0D5C147 -> 962329+0x47
[  20] 0x7FF75463B011 Fallout4.exe+0C6B011 -> 1271754+0x61
[  21] 0x7FF754854DE3 Fallout4.exe+0E84DE3 -> 1235717+0x493
[  22] 0x7FF754804B98 Fallout4.exe+0E34B98 -> 426899+0x98
[  23] 0x7FF754868852 Fallout4.exe+0E98852 -> 694340+0x182
[  24] 0x7FF7548AEEB4 Fallout4.exe+0EDEEB4 -> 353790+0x14
[  25] 0x7FF7539F3948 Fallout4.exe+0023948 -> 1577322+0xD8
[  26] 0x7FF75465B111 Fallout4.exe+0C8B111 -> 623917+0x41
[  27] 0x7FF75465A939 Fallout4.exe+0C8A939 -> 1158833+0x39
[  28] 0x7FF754620051 Fallout4.exe+0C50051 -> 131272+0x31
[  29] 0x7FF75472C147 Fallout4.exe+0D5C147 -> 962329+0x47
[  30] 0x7FF75463B011 Fallout4.exe+0C6B011 -> 1271754+0x61
[  31] 0x7FF754854DE3 Fallout4.exe+0E84DE3 -> 1235717+0x493
[  32] 0x7FF754804B98 Fallout4.exe+0E34B98 -> 426899+0x98
[  33] 0x7FF754868852 Fallout4.exe+0E98852 -> 694340+0x182
[  34] 0x7FF7548AEEB4 Fallout4.exe+0EDEEB4 -> 353790+0x14
[  35] 0x7FF7539F3948 Fallout4.exe+0023948 -> 1577322+0xD8
[  36] 0x7FF75465B111 Fallout4.exe+0C8B111 -> 623917+0x41
[  37] 0x7FF75465A939 Fallout4.exe+0C8A939 -> 1158833+0x39
[  38] 0x7FF754620051 Fallout4.exe+0C50051 -> 131272+0x31
[  39] 0x7FF75472C147 Fallout4.exe+0D5C147 -> 962329+0x47
[  40] 0x7FF75463B011 Fallout4.exe+0C6B011 -> 1271754+0x61
[  41] 0x7FF754854DE3 Fallout4.exe+0E84DE3 -> 1235717+0x493
[  42] 0x7FF754804B98 Fallout4.exe+0E34B98 -> 426899+0x98
[  43] 0x7FF754868852 Fallout4.exe+0E98852 -> 694340+0x182
[  44] 0x7FF7548AEEB4 Fallout4.exe+0EDEEB4 -> 353790+0x14
[  45] 0x7FF7539F3948 Fallout4.exe+0023948 -> 1577322+0xD8
[  46] 0x7FF75465B111 Fallout4.exe+0C8B111 -> 623917+0x41
[  47] 0x7FF75465A939 Fallout4.exe+0C8A939 -> 1158833+0x39
[  48] 0x7FF754620051 Fallout4.exe+0C50051 -> 131272+0x31
[  49] 0x7FF75472C147 Fallout4.exe+0D5C147 -> 962329+0x47
[  50] 0x7FF75463B011 Fallout4.exe+0C6B011 -> 1271754+0x61
[  51] 0x7FF754854DE3 Fallout4.exe+0E84DE3 -> 1235717+0x493
[  52] 0x7FF754804B98 Fallout4.exe+0E34B98 -> 426899+0x98
[  53] 0x7FF754868852 Fallout4.exe+0E98852 -> 694340+0x182
[  54] 0x7FF7548AEEB4 Fallout4.exe+0EDEEB4 -> 353790+0x14
[  55] 0x7FF7539F3948 Fallout4.exe+0023948 -> 1577322+0xD8
[  56] 0x7FF75465B111 Fallout4.exe+0C8B111 -> 623917+0x41
[  57] 0x7FF75465A939 Fallout4.exe+0C8A939 -> 1158833+0x39
[  58] 0x7FF754620051 Fallout4.exe+0C50051 -> 131272+0x31
[  59] 0x7FF75472C147 Fallout4.exe+0D5C147 -> 962329+0x47
[  60] 0x7FF75463B011 Fallout4.exe+0C6B011 -> 1271754+0x61
[  61] 0x7FF754854DE3 Fallout4.exe+0E84DE3 -> 1235717+0x493
[  62] 0x7FF754804B98 Fallout4.exe+0E34B98 -> 426899+0x98
[  63] 0x7FF754868852 Fallout4.exe+0E98852 -> 694340+0x182
[  64] 0x7FF7548AEEB4 Fallout4.exe+0EDEEB4 -> 353790+0x14
[  65] 0x7FF7539F3948 Fallout4.exe+0023948 -> 1577322+0xD8
